v0.0.0	创建项目；创建 第一模块 第二模块 第三模块
v0.0.1	第三模块 可视化添加互动效果
v0.0.2	第三模块 “噪声值计算”宣布独立；顶部标题栏 增强战略机动性
v0.0.3	制作“噪声值计算”可视化
v0.0.4	第三模块 基本完成；创建 第四模块
v0.1.0	第四模块 基本完成
v0.2.0	第五模块 基本完成
v0.3.0	创建 第六模块
v0.4.0	第六模块 被 第七模块 歼灭，第七模块 西迁，保留国号“第六模块”
v0.4.1	第六模块 建设了基础设施
v0.4.2	第三模块 第六页 出现政权分立，长期混战10个版本后，国力衰微，被 第七页 吞并
v0.4.3	第二模块 与 第六模块 开通贸易道路，推动了 沿路模块 的艺术发展，促进了 民族交融
v0.4.4	第六模块掌握了 航天技术
v0.4.5	完成 第一模块 第二模块 国际化
v0.4.6	完成 第三模块 国际化
v0.4.7	完成 第四模块 国际化
v0.4.8	为 第四模块 添加 参数解释
v0.4.9	完成 第五模块 国际化
v1.0.0	完成 第六模块 国际化；网页内容基本完成
v1.0.1	优化了速度
